Package,Name,Status,Version
Fields,"Readonly Field Widget (readonly_field_widget)",Enabled,8.x-1.3
Other,"Redirect 404 (redirect_404)",Disabled,8.x-1.4
Other,"Redirect Domain (redirect_domain)",Disabled,8.x-1.4
Other,"Redirect (redirect)",Enabled,8.x-1.4
Development,"Reroute emails (reroute_email)",Enabled,8.x-1.1
"User interface","Responsive Preview (responsive_preview)",Enabled,8.x-1.0-beta1
Administration,"PHP Authentication shield (shield)",Enabled,8.x-1.2
Other,"Date Time Exposed Views Filters (single_datetime_exposed)",Disabled,8.x-1.7
Other,"Single Date Time Picker (single_datetime)",Enabled,8.x-1.7
Other,"Sitemap (sitemap)",Enabled,8.x-1.5
Development,"Stage File Proxy (stage_file_proxy)",Enabled,8.x-1.0-beta1
Statistics,"Statistics Counter (statistics_counter)",Enabled,8.x-1.0-beta2
Other,"Taxonomy unique (taxonomy_unique)",Enabled,8.x-2.1
Other,"Token (token)",Enabled,8.x-1.5
Other,"Twig Field Value (twig_field_value)",Enabled,8.x-1.2
Other,"Twig tweak (twig_tweak)",Enabled,8.x-1.9
Development,"Twig Xdebug (twig_xdebug)",Enabled,8.x-1.1
Other,"Ultimate Cron (ultimate_cron)",Enabled,8.x-2.0-alpha4
"Video Embed Field","Video Embed Media - Migrate to core oEmbed (vem_migrate_oembed)",Disabled,8.x-2.2
"Video Embed Field","Video Embed Media (video_embed_media)",Disabled,8.x-2.2
"Video Embed Field","Video Embed WYSIWYG (video_embed_wysiwyg)",Disabled,8.x-2.2
"Video Embed Field","Video Embed Field (video_embed_field)",Enabled,8.x-2.2
Views,"Views Bootstrap (views_bootstrap)",Enabled,8.x-3.1
"Views Bulk Operations","Actions Permissions (actions_permissions)",Disabled,8.x-2.5
Examples,"Views Bulk Operations example (views_bulk_operations_example)",Disabled,8.x-2.5
Views,"Views Bulk Operations (views_bulk_operations)",Enabled,8.x-2.5
Views,"Views Reference Field (viewsreference)",Enabled,8.x-1.4
Core,"Bartik (bartik)",Enabled,8.7.5
Core,"Classy (classy)",Enabled,8.7.5
Core,"Seven (seven)",Enabled,8.7.5
Core,"Stable (stable)",Enabled,8.7.5
Core,"Stark (stark)",Disabled,8.7.5
Bootstrap,"Bootstrap (bootstrap)",Enabled,8.x-3.20
Bootstrap,"Sereno website theme (serenowebsitetheme)",Enabled,
